,Unnamed: 0,timestamp,longitude,latitude,phone_brand_en,gender,age_segment,location,neigbourhood_numbers
450,450,2018-06-29 00:00:00,-79.55324,43.6423,Chelostoma,M,140-160,Islington-City Centre West,14
451,451,2018-06-29 00:00:00,-79.4335,43.66791,Chelostoma,M,120-140,Dovercourt-Wallace Emerson-Junction,93
452,452,2018-06-29 00:00:00,-79.31827,43.67418,Chelostoma,M,80-100,Woodbine Corridor,64
453,453,2018-06-29 00:00:00,-79.31995,43.68951,Chelostoma,M,120-140,Danforth East York,59
454,454,2018-06-04 00:00:00,-79.46369,43.64654,Megachile,M,80-100,High Park-Swansea,87
455,455,2018-06-04 00:00:00,-79.41351999999999,43.71835,Megachile,M,160+,Lawrence Park South,103
456,456,2018-05-27 00:00:00,-79.41351999999999,43.71835,Megachile,F,160+,Lawrence Park South,103
457,457,2018-06-08 00:00:00,-79.41351999999999,43.71835,Megachile,F,160+,Lawrence Park South,103
458,458,2018-05-28 00:00:00,-79.35249,43.732659999999996,Megachile,F,140-160,Banbury-Don Mills,42
459,459,2018-06-04 00:00:00,-79.41351999999999,43.71835,Megachile,F,160+,Lawrence Park South,103
460,460,2018-06-29 00:00:00,-79.31995,43.68951,Chelostoma,F,120-140,Danforth East York,59
461,461,2018-05-31 00:00:00,-79.48689,43.65057,Chelostoma,F,100-120,Lambton Baby Point,114
462,462,2018-06-08 00:00:00,-79.4335,43.66791,Chelostoma,M,120-140,Dovercourt-Wallace Emerson-Junction,93
463,463,2018-06-08 00:00:00,-79.48539,43.65797,Chelostoma,M,100-120,Runnymede-Bloor West Village,89
464,464,2018-05-27 00:00:00,-79.50723,43.63919,Chelostoma,M,100-120,Stonegate-Queensway,16
465,465,2018-06-08 00:00:00,-79.48539,43.65797,Chelostoma,M,100-120,Runnymede-Bloor West Village,89
466,466,2018-05-27 00:00:00,-79.50723,43.63919,Chelostoma,M,100-120,Stonegate-Queensway,16
467,467,2018-06-04 00:00:00,-79.42755,43.65578,Chelostoma,M,100-120,Dufferin Grove,83
468,468,2018-06-04 00:00:00,-79.3524,43.65412,Anthidium,F,60-80,Waterfront Communities-The Island,77
469,469,2018-06-01 00:00:00,-79.32925999999999,43.67239,Lasioglossum,F,80-100,South Riverdale,70
470,470,2018-06-29 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
471,471,2018-05-16 00:00:00,-79.35249,43.732659999999996,Lasioglossum,F,140-160,Banbury-Don Mills,42
472,472,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
473,473,2018-05-31 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
474,474,2018-06-29 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
475,475,2018-06-29 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
476,476,2018-08-10 00:00:00,-79.41351999999999,43.71835,Lasioglossum,M,160+,Lawrence Park South,103
477,477,2018-08-10 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
478,478,2018-07-20 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
479,479,2018-08-10 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
480,480,2018-08-10 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
481,481,2018-08-31 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
482,482,2018-08-10 00:00:00,-79.3524,43.65412,Lasioglossum,F,60-80,Waterfront Communities-The Island,77
483,483,2018-08-10 00:00:00,-79.41351999999999,43.71835,Lasioglossum,M,160+,Lawrence Park South,103
